Country Rank,Country/Territory,Country Code,Region,CPI 2014,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90% Upper CI,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,
161,Yemen,YEM,ME,19,6,2.37,12,28,15,23,,,28,,21,12,14,,21,22,,,
166,Eritrea,ERI,AF,18,4,7.91,10,42,5,31,10,,10,,,12,,,,42,,,
166,Libya,LBY,ME,18,5,2.81,11,26,13,23,,,19,,12,,26,,21,11,,,
166,Uzbekistan,UZB,EE,18,6,2.54,11,27,14,22,,,15,,,12,,27,21,11,,21,
169,Turkmenistan,TKM,EE,17,3,2.85,11,21,12,22,,,19,,,,,,,11,,21,
170,Iraq,IRQ,ME,16,4,2.37,11,21,12,20,,,19,,12,,,,21,11,,,
171,South Sudan,SSD,AF,15,3,2.35,12,20,11,19,20,,15,,,12,,,,,,,
172,Afghanistan,AFG,AP,12,4,1.29,10,16,10,14,,,10,,,12,,16,,11,,,
173,Sudan,SDN,ME,11,6,3.55,0,21,5,17,20,,15,,2,0,,,21,11,,,
174,Korea (North),PRK,AP,8,3,3.35,1,12,3,13,,,10,,12,,,,,1,,,
174,Somalia,SOM,AF,8,4,2.34,2,12,4,12,2,,6,,12,,,,,11,,,
